jam,jarak,provider,ping,
1,1,1,70,
1,1,1,82,
2,1,1,78,
2,1,1,72,
3,1,1,79,
3,1,1,71,
4,1,1,76,
4,1,1,77,
5,1,1,71,
5,1,1,88,
1,2,1,166,
1,2,1,157,
2,2,1,159,
2,2,1,163,
3,2,1,172,
3,2,1,167,
4,2,1,180,
4,2,1,147,
5,2,1,158,
5,2,1,160,
1,3,1,137,
1,3,1,159,
2,3,1,144,
2,3,1,137,
3,3,1,162,
3,3,1,142,
4,3,1,170,
4,3,1,134,
5,3,1,126,
5,3,1,165,
1,4,1,285,
1,4,1,276,
2,4,1,292,
2,4,1,285,
3,4,1,276,
3,4,1,298,
4,4,1,297,
4,4,1,281,
5,4,1,290,
5,4,1,290,
1,5,1,256,
1,5,1,249,
2,5,1,243,
2,5,1,264,
3,5,1,273,
3,5,1,249,
4,5,1,266,
4,5,1,271,
5,5,1,255,
5,5,1,236,
1,1,2,112,
1,1,2,129,
2,1,2,105,
2,1,2,105,
3,1,2,104,
3,1,2,105,
4,1,2,113,
4,1,2,118,
5,1,2,125,
5,1,2,106,
1,2,2,148,
1,2,2,145,
2,2,2,173,
2,2,2,149,
3,2,2,156,
3,2,2,151,
4,2,2,152,
4,2,2,162,
5,2,2,146,
5,2,2,159,
1,3,2,139,
1,3,2,131,
2,3,2,134,
2,3,2,141,
3,3,2,140,
3,3,2,135,
4,3,2,143,
4,3,2,149,
5,3,2,144,
5,3,2,154,
1,4,2,280,
1,4,2,290,
2,4,2,279,
2,4,2,271,
3,4,2,288,
3,4,2,273,
4,4,2,280,
4,4,2,347,
5,4,2,307,
5,4,2,284,
1,5,2,251,
1,5,2,247,
2,5,2,258,
2,5,2,249,
3,5,2,242,
3,5,2,243,
4,5,2,275,
4,5,2,358,
5,5,2,225,
5,5,2,256,
1,1,3,157,
1,1,3,124,
2,1,3,119,
2,1,3,125,
3,1,3,89,
3,1,3,106,
4,1,3,108,
4,1,3,87,
5,1,3,143,
5,1,3,188,
1,2,3,325,
1,2,3,347,
2,2,3,316,
2,2,3,382,
3,2,3,358,
3,2,3,353,
4,2,3,440,
4,2,3,332,
5,2,3,332,
5,2,3,342,
1,3,3,148,
1,3,3,146,
2,3,3,137,
2,3,3,140,
3,3,3,172,
3,3,3,184,
4,3,3,158,
4,3,3,142,
5,3,3,138,
5,3,3,138,
1,4,3,213,
1,4,3,218,
2,4,3,221,
2,4,3,214,
3,4,3,231,
3,4,3,301,
4,4,3,239,
4,4,3,238,
5,4,3,220,
5,4,3,233,
1,5,3,283,
1,5,3,279,
2,5,3,282,
2,5,3,276,
3,5,3,316,
3,5,3,290,
4,5,3,273,
4,5,3,274,
5,5,3,266,
5,5,3,269,
