jam,jarak,provider,ping
10:00,singtel,tsel,70
10:00,singtel,tsel,82
12:00,singtel,tsel,78
12:00,singtel,tsel,72
14:00,singtel,tsel,79
14:00,singtel,tsel,71
16:00,singtel,tsel,76
16:00,singtel,tsel,77
18:00,singtel,tsel,71
18:00,singtel,tsel,88
10:00,AT,tsel,166
10:00,AT,tsel,157
12:00,AT,tsel,159
12:00,AT,tsel,163
14:00,AT,tsel,172
14:00,AT,tsel,167
16:00,AT,tsel,180
16:00,AT,tsel,147
18:00,AT,tsel,158
18:00,AT,tsel,160
10:00,ooredoo,tsel,137
10:00,ooredoo,tsel,159
12:00,ooredoo,tsel,144
12:00,ooredoo,tsel,137
14:00,ooredoo,tsel,162
14:00,ooredoo,tsel,142
16:00,ooredoo,tsel,170
16:00,ooredoo,tsel,134
18:00,ooredoo,tsel,126
18:00,ooredoo,tsel,165
10:00,vodafone,tsel,285
10:00,vodafone,tsel,276
12:00,vodafone,tsel,292
12:00,vodafone,tsel,285
14:00,vodafone,tsel,276
14:00,vodafone,tsel,298
16:00,vodafone,tsel,297
16:00,vodafone,tsel,281
18:00,vodafone,tsel,290
18:00,vodafone,tsel,290
10:00,AT&T,tsel,256
10:00,AT&T,tsel,249
12:00,AT&T,tsel,243
12:00,AT&T,tsel,264
14:00,AT&T,tsel,273
14:00,AT&T,tsel,249
16:00,AT&T,tsel,266
16:00,AT&T,tsel,271
18:00,AT&T,tsel,255
18:00,AT&T,tsel,236
10:00,singtel,isat,112
10:00,singtel,isat,129
12:00,singtel,isat,105
12:00,singtel,isat,105
14:00,singtel,isat,104
14:00,singtel,isat,105
16:00,singtel,isat,113
16:00,singtel,isat,118
18:00,singtel,isat,125
18:00,singtel,isat,106
10:00,AT,isat,148
10:00,AT,isat,145
12:00,AT,isat,173
12:00,AT,isat,149
14:00,AT,isat,156
14:00,AT,isat,151
16:00,AT,isat,152
16:00,AT,isat,162
18:00,AT,isat,146
18:00,AT,isat,159
10:00,ooredoo,isat,139
10:00,ooredoo,isat,131
12:00,ooredoo,isat,134
12:00,ooredoo,isat,141
14:00,ooredoo,isat,140
14:00,ooredoo,isat,135
16:00,ooredoo,isat,143
16:00,ooredoo,isat,149
18:00,ooredoo,isat,144
18:00,ooredoo,isat,154
10:00,vodafone,isat,280
10:00,vodafone,isat,290
12:00,vodafone,isat,279
12:00,vodafone,isat,271
14:00,vodafone,isat,288
14:00,vodafone,isat,273
16:00,vodafone,isat,280
16:00,vodafone,isat,347
18:00,vodafone,isat,307
18:00,vodafone,isat,284
10:00,AT&T,isat,251
10:00,AT&T,isat,247
12:00,AT&T,isat,258
12:00,AT&T,isat,249
14:00,AT&T,isat,242
14:00,AT&T,isat,243
16:00,AT&T,isat,275
16:00,AT&T,isat,358
18:00,AT&T,isat,225
18:00,AT&T,isat,256
10:00,singtel,xl,157
10:00,singtel,xl,124
12:00,singtel,xl,119
12:00,singtel,xl,125
14:00,singtel,xl,89
14:00,singtel,xl,106
16:00,singtel,xl,108
16:00,singtel,xl,87
18:00,singtel,xl,143
18:00,singtel,xl,188
10:00,AT,xl,325
10:00,AT,xl,347
12:00,AT,xl,316
12:00,AT,xl,382
14:00,AT,xl,358
14:00,AT,xl,353
16:00,AT,xl,440
16:00,AT,xl,332
18:00,AT,xl,332
18:00,AT,xl,342
10:00,ooredoo,xl,148
10:00,ooredoo,xl,146
12:00,ooredoo,xl,137
12:00,ooredoo,xl,140
14:00,ooredoo,xl,172
14:00,ooredoo,xl,184
16:00,ooredoo,xl,158
16:00,ooredoo,xl,142
18:00,ooredoo,xl,138
18:00,ooredoo,xl,138
10:00,vodafone,xl,213
10:00,vodafone,xl,218
12:00,vodafone,xl,221
12:00,vodafone,xl,214
14:00,vodafone,xl,231
14:00,vodafone,xl,301
16:00,vodafone,xl,239
16:00,vodafone,xl,238
18:00,vodafone,xl,220
18:00,vodafone,xl,233
10:00,AT&T,xl,283
10:00,AT&T,xl,279
12:00,AT&T,xl,282
12:00,AT&T,xl,276
14:00,AT&T,xl,316
14:00,AT&T,xl,290
16:00,AT&T,xl,273
16:00,AT&T,xl,274
18:00,AT&T,xl,266
18:00,AT&T,xl,269
